gene	first_type	n_sections_used	n_sections_positive_delta	median_high_neighbor_fraction	median_other_neighbor_fraction	median_delta_neighbor_fraction	median_enrichment_ratio	wilcoxon_statistic	wilcoxon_pvalue	wilcoxon_fdr_global	wilcoxon_fdr_within_gene
KCNMB4	CD4+ cells	9	3	0.0	0.0002605620696072957	0.0	1.0	4.0	0.4375	0.7751677852348994	0.68212890625
KCNMB4	DCs	9	4	0.0	0.002754513307277123	0.0	1.0	11.0	0.6875	0.8776895491803278	0.6875
KCNMB4	FCN1-TAM	9	3	0.0	0.00030149862552097186	0.0	1.0	3.0	0.3125	0.6875	0.68212890625
KCNMB4	PVL	9	4	0.0	0.004335424985738734	-0.00025663804165432827	0.28039633555672416	16.0	0.49609375	0.7751677852348994	0.68212890625
KCNMB4	iCAF	9	4	0.023333333333333334	0.009207743614771438	-0.0006045218232378189	0.4228721606418664	17.0	0.5703125	0.8391222133757962	0.6875
KCNMB4	C1Q-TAM	9	1	0.0	0.0016848452602642539	-0.0010645821701097957	0.8102019756248919	6.0	0.4375	0.7751677852348994	0.68212890625
KCNMB4	SPP1-TAM	9	1	0.0015503875968992248	0.003324827959483487	-0.001774440362584262	0.34464905957140046	5.0	0.0390625	0.3342013888888889	0.21484375
KCNMB4	Tumor Epithelial cells	9	1	0.06	0.08352073509853655	-0.023520735098536555	0.7187212588980435	9.0	0.12890625	0.49328125	0.3544921875
KCNMB4	Normal Epithelial cells	9	0	0.02	0.08122355217023294	-0.05455688550356628	0.37754685131950977	0.0	0.00390625	0.090234375	0.04296875
KCNN3	myCAF	10	7	0.6846296296296295	0.6285184867380481	0.043949555144643854	1.0837441812364856	12.0	0.130859375	0.49328125	0.35234375
KCNN3	PVL	10	6	0.003333333333333333	0.0033279252747755363	0.0030456188959093614	3.1068638655913086	13.0	0.16015625	0.49328125	0.35234375
KCNN3	B cells	10	4	0.0029012345679012346	0.0025812611758797392	0.0	1.0	3.0	0.15625	0.49328125	0.35234375
KCNN3	CD4+ cells	10	2	0.0	0.0007946175127036395	0.0	1.0	10.0	1.0	1.0	1.0
KCNN3	FCN1-TAM	10	3	0.0	0.000361093287024282	0.0	1.0	6.0	0.4375	0.7751677852348994	0.6875
KCNN3	DCs	10	3	0.003333333333333333	0.003088015811781475	-0.0003466286799620249	0.9678847016796731	17.0	0.9453125	1.0	1.0
KCNN3	C1Q-TAM	10	2	0.0	0.001726621146960421	-0.0008052708638360174	0.8272900149743226	13.0	0.9375	1.0	1.0
KCNN3	iCAF	10	4	0.004999999999999999	0.011105857493633159	-0.0012301061391384043	0.445726353387773	26.0	0.921875	1.0	1.0
KCNN3	SPP1-TAM	10	2	0.0	0.004101497618454007	-0.001840929124208051	0.1036631988000451	19.0	0.431640625	0.7751677852348994	0.6875
KCNN3	Normal Epithelial cells	10	2	0.03561728395061728	0.07510865352206861	-0.03325093272804392	0.5583134857289684	5.0	0.01953125	0.205078125	0.107421875
KCNN3	Tumor Epithelial cells	10	2	0.11499999999999999	0.1443069887502306	-0.04067484744251604	0.7737114779380694	5.0	0.01953125	0.205078125	0.107421875
KCNN4	Tumor Epithelial cells	10	9	0.14045938840459388	0.14438086632771313	0.032250424528489384	1.3332398486003854	5.0	0.01953125	0.205078125	0.07161458333333333
KCNN4	B cells	10	4	0.0009132420091324201	0.0026168829078339873	0.0	1.0	3.0	0.15625	0.49328125	0.2936197916666667
KCNN4	C1Q-TAM	10	4	0.0	0.0017055657260265835	0.0	1.0	11.0	0.6875	0.8776895491803278	0.75625
KCNN4	CD4+ cells	10	4	0.00045662100456621003	0.000788490493523057	0.0	1.0	3.0	0.15625	0.49328125	0.2936197916666667
KCNN4	FCN1-TAM	10	1	0.0	0.00036345574585705916	-0.00015311177159326307	0.6932883904498465	4.0	0.21875	0.595360824742268	0.34375
KCNN4	iCAF	10	3	0.01321917808219178	0.011007500682895252	-0.0005762458496880434	0.7557252312992231	22.0	0.625	0.8542899408284024	0.75625
KCNN4	DCs	10	2	0.0020282186948853615	0.0031182062023335433	-0.0006670816527526128	0.8925175283582417	9.0	0.25	0.595360824742268	0.34375
