"gene_symbol","category","mean_CTRL","mean_shSigmaR1","median_CTRL","median_shSigmaR1","delta_sh_minus_ctrl","wilcox_p","rank_biserial","log2FoldChange","pvalue","padj","rho_all","rho_pvalue","rho_n","rho_CTRL","rho_CTRL_pvalue","rho_shSigmaR1","rho_shSigmaR1_pvalue","wilcox_padj","rho_padj"
"COL11A1","myCAF",13.9472478532421,13.9597606973708,13.8562106492091,14.0973965556055,0.0125128441286702,1,-0.111111111111111,0.0106718420096223,0.908647826418978,0.966455932423276,-0.257142857142857,0.658333333333333,6,,,,,1,0.824725274725275
"SPINT2","apCAF",7.84096670491272,7.84850309111466,7.88621607024683,7.8558262340866,0.00753638620194064,1,0.111111111111111,0.0034024836111945,0.95357822435353,,-0.2,0.713888888888889,6,,,,,1,0.856666666666667
"OAS1","ifCAF",7.707538758606,7.90942743838997,7.6030477769284,7.89838967519003,0.201888679783968,0.382733088885226,0.555555555555556,0.0573840295172851,0.158459291805026,,-0.2,0.713888888888889,6,,,,,0.597692768944052,0.856666666666667
"PLPP4","myCAF",9.97223900500313,10.2457884463063,9.97741590742041,10.0713266972375,0.273549441303212,0.382733088885226,0.555555555555556,0.192923824152049,0.087267585755731,0.294700370471239,-0.2,0.713888888888889,6,,,,,0.597692768944052,0.856666666666667
"MMP11","myCAF",8.32542015712662,8.40788966732427,8.24405949537828,8.40852621326874,0.0824695101976562,1,0.111111111111111,0.040078511847959,0.545666780370641,0.778664329289379,-0.2,0.713888888888889,6,,,,,1,0.856666666666667
"PDK4","csCAF",7.69963631282635,7.68432123186895,7.7001369279623,7.66476407843264,-0.0153150809574001,1,-0.111111111111111,-0.0026186101293534,0.952840762704083,,0.142857142857143,0.802777777777778,6,,,,,1,0.906105610561056
"NFATC2","iCAF",8.32741234489028,8.5103696696909,8.17464347033027,8.32558358401353,0.182957324800627,0.662520583540057,0.333333333333333,0.0891672915379928,0.145069852561192,0.396452775531537,-0.142857142857143,0.802777777777778,6,,,,,0.829970840918314,0.906105610561056
"IFIT2","ifCAF",9.09087848493902,9.03140605994655,8.94005294130581,9.01511791485472,-0.0594724249924692,0.662520583540057,0.333333333333333,-0.0340504756441192,0.689015408096296,0.864303674893969,-0.142857142857143,0.802777777777778,6,,,,,0.829970840918314,0.906105610561056
"STAT1","ifCAF",13.0537630195858,13.0240682109273,13.0404105309141,13.0385550393961,-0.0296948086585065,1,-0.111111111111111,-0.0223679436413157,0.82465981122627,0.933032959453347,0.142857142857143,0.802777777777778,6,,,,,1,0.906105610561056
"IFIT3","ifCAF",9.955120119486,9.95415793559989,9.81948634389605,9.95929248833011,-0.000962183886109358,0.662520583540057,0.333333333333333,-0.000928434573301317,0.989120824188419,0.996208029769769,-0.142857142857143,0.802777777777778,6,,,,,0.829970840918314,0.906105610561056
"SLC16A3","myCAF",14.4350780068746,14.6253581038024,14.3884680665381,14.6106575957476,0.190280096927797,0.382733088885226,0.555555555555556,0.130674841945836,0.165602670343975,0.426193029882864,-0.142857142857143,0.802777777777778,6,,,,,0.597692768944052,0.906105610561056
"DMKN","apCAF",9.9101717651222,9.89836621801016,9.92674816792271,9.89584723997446,-0.0118055471120471,1,-0.111111111111111,-0.00788116834809991,0.925124795518425,0.972233806059321,-0.0857142857142857,0.919444444444444,6,,,,,1,0.970524691358025
"NDRG2","csCAF",8.52279879107077,8.41370572910119,8.55199670090497,8.40122948123138,-0.109093061969581,0.662520583540057,-0.333333333333333,-0.0664289752226504,0.421921745418013,0.69263587027617,0.0857142857142857,0.919444444444444,6,,,,,0.829970840918314,0.970524691358025
"MGP","csCAF",8.01975818828974,8.07239439895467,8.02637021085378,8.0989016277917,0.0526362106649323,0.662520583540057,0.333333333333333,0.0271221264434913,0.668231342759414,,0.0857142857142857,0.919444444444444,6,,,,,0.829970840918314,0.970524691358025
"BDKRB1","iCAF",8.66043545151775,8.64546973871282,8.42154743864916,8.48210848344373,-0.014965712804921,1,0.111111111111111,0.00853068228593366,0.839686975815032,0.938899885798083,0.0857142857142857,0.919444444444444,6,,,,,1,0.970524691358025
"ISG15","ifCAF",10.5208970004154,10.5724317122971,10.3765781367115,10.5561798358624,0.0515347118816543,0.662520583540057,0.333333333333333,0.0312330339545522,0.748602974854043,0.894617888309135,0.0857142857142857,0.919444444444444,6,,,,,0.829970840918314,0.970524691358025
