target_gene	view	Predictor	Predictor_original	Importance	nsamples
KCNN4	intra	Fibroblasts	Fibroblasts	19.2839981821343	10
KCNN4	intra	TAM	TAM	10.8464782413971	10
KCNN4	intra	B_cells	B cells	8.87400013844874	9
KCNN4	intra	Monocytes	Monocytes	2.87955512864118	10
KCNN4	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	29.2449352577208	10
KCNN4	juxta_ct	Fibroblasts	Fibroblasts	25.7304490902829	10
KCNN4	juxta_ct	TAM	TAM	20.137788082872	10
KCNN4	juxta_ct	B_cells	B cells	14.9053650465042	9
KCNN4	juxta_ct	Monocytes	Monocytes	7.65539982475428	10
KCNN4	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	31.9119309671692	3
KCNN4	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	21.9401979174599	10
KCNN4	para_ct	Hepatocytes	Hepatocytes	21.5486498502242	4
KCNN4	para_ct	TAM	TAM	21.0805369154714	10
KCNN4	para_ct	Fibroblasts	Fibroblasts	20.468449464632	10
KCNQ4	intra	Fibroblasts	Fibroblasts	5.28303418016123	10
KCNQ4	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	4.62717280498616	10
KCNQ4	intra	TAM	TAM	3.0531731491259	10
KCNQ4	intra	B_cells	B cells	2.08121950423547	9
KCNQ4	intra	Monocytes	Monocytes	0.872126276442978	10
KCNQ4	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	6.12795385529766	10
KCNQ4	juxta_ct	Fibroblasts	Fibroblasts	6.1064846152575	10
KCNQ4	juxta_ct	TAM	TAM	4.89257273333966	10
KCNQ4	juxta_ct	B_cells	B cells	3.00210341780493	9
KCNQ4	juxta_ct	Monocytes	Monocytes	2.12143813130698	10
KCNQ4	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	6.20704674325462	3
KCNQ4	para_ct	Fibroblasts	Fibroblasts	4.37576472538052	10
KCNQ4	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	4.31424960083203	10
KCNQ4	para_ct	TAM	TAM	4.30483869974669	10
KCNQ4	para_ct	Monocytes	Monocytes	4.25871276652503	10
KCNS3	intra	Fibroblasts	Fibroblasts	19.5579883109742	10
KCNS3	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	15.8483259476619	10
KCNS3	intra	TAM	TAM	13.0901476474561	10
KCNS3	intra	B_cells	B cells	10.9921830773467	9
KCNS3	intra	Monocytes	Monocytes	4.90938604799767	10
KCNS3	juxta_ct	Fibroblasts	Fibroblasts	29.4582777043417	10
KCNS3	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	27.4697505066469	10
KCNS3	juxta_ct	TAM	TAM	25.1445972866605	10
KCNS3	juxta_ct	B_cells	B cells	17.5134811946475	9
KCNS3	juxta_ct	Monocytes	Monocytes	12.3233476633965	10
KCNS3	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	32.5192274725752	3
KCNS3	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	23.1795234694443	10
KCNS3	para_ct	T_NK_cells	T-NK cells	22.5899204767278	7
KCNS3	para_ct	Monocytes	Monocytes	22.3802393430583	10
KCNS3	para_ct	PVL	PVL	22.0337032146727	10
KCNT2	intra	Fibroblasts	Fibroblasts	2.31437682769767	10
KCNT2	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	1.71307547130771	10
KCNT2	intra	TAM	TAM	1.32266319361481	10
KCNT2	intra	B_cells	B cells	0.881553457321797	9
