target_gene	gene	n_sections_tested	n_sections_delta_gt_0	n_sections_delta_lt_0	mean_delta	median_delta	wilcox_p	wilcox_fdr
KCNQ4	ATP5MC3	3	1	2	-0.121698404144716	-0.151557359575663	0.422678074170635	0.831713810321788
KCNQ4	DDX5	3	0	3	-0.120450402544026	-0.0976845164922517	0.18144920772142	0.691236932399768
KCNQ4	GRHPR	3	0	3	-0.115222563813615	-0.125574424619714	0.18144920772142	0.691236932399768
KCNQ4	MARK2	3	0	3	-0.114435738334995	-0.112781631050371	0.18144920772142	0.691236932399768
KCNQ4	PARVA	3	0	3	-0.112153728854915	-0.104157438076991	0.18144920772142	0.691236932399768
KCNQ4	PDGFA	3	1	2	-0.105738222872518	-0.0624918037630275	0.789268026134281	1
KCNQ4	PTPRF	3	0	3	-0.105640577074176	-0.0998962158401258	0.18144920772142	0.691236932399768
KCNQ4	CAMK2N2	3	1	2	-0.105591777235105	-0.162826407890983	0.422678074170635	0.831713810321788
KCNQ4	ERGIC3	3	0	3	-0.103649252640511	-0.0673118262846513	0.18144920772142	0.691236932399768
KCNQ4	PM20D1	3	0	3	-0.103299278582541	-0.0887473821201265	0.18144920772142	0.691236932399768
KCNQ4	ESRP1	3	0	3	-0.102885111174988	-0.11053303986305	0.18144920772142	0.691236932399768
KCNQ4	MED13L	3	0	3	-0.101306807656708	-0.11531800905367	0.18144920772142	0.691236932399768
KCNQ4	PPIB	3	0	3	-0.101066701053488	-0.104369607869077	0.18144920772142	0.691236932399768
KCNQ4	POLR2F	3	1	2	-0.101029275939028	-0.157797281958286	0.422678074170635	0.831713810321788
KCNQ4	STRAP	3	0	3	-0.100935183667567	-0.122883956226517	0.18144920772142	0.691236932399768
KCNQ4	TMEM147	3	1	2	-0.100345462049897	-0.140401824145794	0.422678074170635	0.831713810321788
KCNQ4	KLF10	3	1	2	-0.10007475511429	-0.100325302479398	0.422678074170635	0.831713810321788
KCNQ4	ECHDC2	3	1	2	-0.0967936648700597	-0.027207140276561	0.789268026134281	1
KCNQ4	VTI1A	3	1	2	-0.0933973032743423	-0.171555727245882	0.422678074170635	0.831713810321788
KCNS3	DCTN1	3	0	3	-0.133945544499534	-0.141558489552245	0.18144920772142	0.771594054215177
KCNS3	NISCH	3	0	3	-0.132401405803388	-0.103419836784842	0.18144920772142	0.771594054215177
KCNS3	LZTS3	3	0	3	-0.129659438180871	-0.102279625086404	0.18144920772142	0.771594054215177
KCNS3	NUCB2	3	0	3	-0.128794758015017	-0.144853038770608	0.18144920772142	0.771594054215177
KCNS3	GRB10	3	0	3	-0.128378345976055	-0.0760660469276583	0.18144920772142	0.771594054215177
KCNS3	GTF3C6	3	0	3	-0.126855610540742	-0.125087118555559	0.18144920772142	0.771594054215177
KCNS3	DMPK	3	0	3	-0.126686939520382	-0.130901828816305	0.18144920772142	0.771594054215177
KCNS3	IL6ST	3	0	3	-0.123852661458532	-0.107720866895558	0.18144920772142	0.771594054215177
KCNS3	SCAMP5	3	0	3	-0.123616548828725	-0.122810429681554	0.18144920772142	0.771594054215177
KCNS3	PPP4R2	3	0	3	-0.122412619862815	-0.155748058845285	0.18144920772142	0.771594054215177
KCNS3	SAT1	3	0	3	-0.122229375914232	-0.0864820022729548	0.18144920772142	0.771594054215177
KCNS3	STAU2	3	0	3	-0.121610802504445	-0.0786611729469633	0.18144920772142	0.771594054215177
KCNS3	ZFPL1	3	0	3	-0.121177795146459	-0.110878620505765	0.18144920772142	0.771594054215177
KCNS3	NRIP1	3	0	3	-0.121167501225135	-0.147479134330829	0.18144920772142	0.771594054215177
KCNS3	KRIT1	3	0	3	-0.117623081509888	-0.121538039375466	0.18144920772142	0.771594054215177
KCNS3	TRAPPC5	3	1	2	-0.117397681411775	-0.107513258952373	0.422678074170635	0.894943515200053
KCNS3	PSME2	3	0	3	-0.117349772164888	-0.0947730088481061	0.18144920772142	0.771594054215177
KCNS3	SMAD3	3	0	3	-0.116225347938686	-0.110839495668574	0.18144920772142	0.771594054215177
KCNS3	JUN	3	0	3	-0.115960930686414	-0.105150141351573	0.18144920772142	0.771594054215177
KCNS3	WDR43	3	0	3	-0.115870548012801	-0.126127385735373	0.18144920772142	0.771594054215177
KCNS3	SMIM26	3	0	3	-0.112865660750171	-0.150116121585828	0.18144920772142	0.771594054215177
KCNS3	MKNK2	3	0	3	-0.112685276634214	-0.151362914705379	0.18144920772142	0.771594054215177
KCNS3	SF3A1	3	0	3	-0.112412034345674	-0.11189001015698	0.18144920772142	0.771594054215177
KCNS3	HSPA5	3	0	3	-0.110857636217234	-0.101275361863799	0.18144920772142	0.771594054215177
