gene	Origin	cc_ischia_10	n_spots	n_positive	pct_detected	mean_expression_all_spots	mean_positive_expression	median_positive_expression	mean_positive_expression_plot
KCNK15	Normal Pancreas	CC1	0	0	0	0	NA	NA	0
KCNK15	Normal Pancreas	CC2	53	3	5.66037735849057	0.0566037735849057	1	1	1
KCNK15	Normal Pancreas	CC3	36	2	5.55555555555556	0.0555555555555556	1	1	1
KCNK15	Normal Pancreas	CC4	3	0	0	0	NA	NA	0
KCNK15	Normal Pancreas	CC5	0	0	0	0	NA	NA	0
KCNK15	Normal Pancreas	CC6	0	0	0	0	NA	NA	0
KCNK15	Normal Pancreas	CC7	21	0	0	0	NA	NA	0
KCNK15	Normal Pancreas	CC8	0	0	0	0	NA	NA	0
KCNK15	Normal Pancreas	CC9	0	0	0	0	NA	NA	0
KCNK15	Normal Pancreas	CC10	9707	81	0.834449366436592	0.00834449366436592	1	1	1
KCNK15	Pancreas	CC1	8639	43	0.497742794304896	0.00497742794304896	1	1	1
KCNK15	Pancreas	CC2	5063	40	0.790045427612088	0.0080979656330239	1.025	1	1.025
KCNK15	Pancreas	CC3	3317	50	1.50738619234248	0.0153753391618933	1.02	1	1.02
KCNK15	Pancreas	CC4	7976	42	0.526579739217653	0.00539117352056168	1.02380952380952	1	1.02380952380952
KCNK15	Pancreas	CC5	7164	38	0.530429927414852	0.00544388609715243	1.02631578947368	1	1.02631578947368
KCNK15	Pancreas	CC6	0	0	0	0	NA	NA	0
KCNK15	Pancreas	CC7	2572	23	0.894245723172628	0.00894245723172628	1	1	1
KCNK15	Pancreas	CC8	0	0	0	0	NA	NA	0
KCNK15	Pancreas	CC9	726	8	1.10192837465565	0.0110192837465565	1	1	1
KCNK15	Pancreas	CC10	1	0	0	0	NA	NA	0
KCNK17	Normal Pancreas	CC1	0	0	0	0	NA	NA	0
KCNK17	Normal Pancreas	CC2	53	2	3.77358490566038	0.0377358490566038	1	1	1
KCNK17	Normal Pancreas	CC3	36	2	5.55555555555556	0.0555555555555556	1	1	1
KCNK17	Normal Pancreas	CC4	3	0	0	0	NA	NA	0
KCNK17	Normal Pancreas	CC5	0	0	0	0	NA	NA	0
KCNK17	Normal Pancreas	CC6	0	0	0	0	NA	NA	0
KCNK17	Normal Pancreas	CC7	21	2	9.52380952380952	0.142857142857143	1.5	1.5	1.5
KCNK17	Normal Pancreas	CC8	0	0	0	0	NA	NA	0
KCNK17	Normal Pancreas	CC9	0	0	0	0	NA	NA	0
KCNK17	Normal Pancreas	CC10	9707	248	2.55485731946018	0.0259606469558051	1.01612903225806	1	1.01612903225806
KCNK17	Pancreas	CC1	8639	224	2.59289269591388	0.0290542886908207	1.12053571428571	1	1.12053571428571
KCNK17	Pancreas	CC2	5063	64	1.26407268417934	0.0138257949832115	1.09375	1	1.09375
KCNK17	Pancreas	CC3	3317	40	1.20590895387398	0.0129635212541453	1.075	1	1.075
KCNK17	Pancreas	CC4	7976	155	1.94332998996991	0.02018555667001	1.03870967741935	1	1.03870967741935
KCNK17	Pancreas	CC5	7164	168	2.34505862646566	0.0249860413176996	1.06547619047619	1	1.06547619047619
KCNK17	Pancreas	CC6	0	0	0	0	NA	NA	0
KCNK17	Pancreas	CC7	2572	95	3.69362363919129	0.0454898911353033	1.23157894736842	1	1.23157894736842
KCNK17	Pancreas	CC8	0	0	0	0	NA	NA	0
KCNK17	Pancreas	CC9	726	11	1.51515151515152	0.0165289256198347	1.09090909090909	1	1.09090909090909
KCNK17	Pancreas	CC10	1	0	0	0	NA	NA	0
KCNK3	Normal Pancreas	CC1	0	0	0	0	NA	NA	0
KCNK3	Normal Pancreas	CC2	53	4	7.54716981132075	0.0754716981132075	1	1	1
KCNK3	Normal Pancreas	CC3	36	0	0	0	NA	NA	0
KCNK3	Normal Pancreas	CC4	3	0	0	0	NA	NA	0
KCNK3	Normal Pancreas	CC5	0	0	0	0	NA	NA	0
KCNK3	Normal Pancreas	CC6	0	0	0	0	NA	NA	0
KCNK3	Normal Pancreas	CC7	21	0	0	0	NA	NA	0
KCNK3	Normal Pancreas	CC8	0	0	0	0	NA	NA	0
KCNK3	Normal Pancreas	CC9	0	0	0	0	NA	NA	0
KCNK3	Normal Pancreas	CC10	9707	4741	48.8410425466158	0.941897599670341	1.92849609786965	1	1.92849609786965
KCNK3	Pancreas	CC1	8639	159	1.84049079754601	0.0199097117721959	1.08176100628931	1	1.08176100628931
KCNK3	Pancreas	CC2	5063	109	2.15287379024294	0.0231088287576536	1.07339449541284	1	1.07339449541284
KCNK3	Pancreas	CC3	3317	51	1.53753391618933	0.0153753391618933	1	1	1
KCNK3	Pancreas	CC4	7976	165	2.06870611835507	0.0214393179538616	1.03636363636364	1	1.03636363636364
KCNK3	Pancreas	CC5	7164	177	2.47068676716918	0.0269402568397543	1.09039548022599	1	1.09039548022599
KCNK3	Pancreas	CC6	0	0	0	0	NA	NA	0
KCNK3	Pancreas	CC7	2572	408	15.8631415241058	0.392690513219285	2.47549019607843	2	2.47549019607843
KCNK3	Pancreas	CC8	0	0	0	0	NA	NA	0
